net,length_um
u_accel.ii\[1\],22.25845mm
net,12.87891mm
u_accel.ii\[0\],12.67135mm
_06993_,11.79953mm
_06995_,11.692995mm
_06989_,11.65487mm
_06991_,11.52043mm
_06992_,11.48119mm
_06990_,11.274965mm
_06996_,11.184mm
_06994_,11.10528mm
_08486_,8.271265mm
_08483_,8.04909mm
_08478_,7.75727mm
rst_ni,7.523145mm
_06863_,7.403515mm
_07937_,3.2605mm
_06868_,3.09644mm
_08495_,2.98249mm
_08476_,2.888805mm
_08491_,2.86454mm
_13704_,2.81515mm
_08494_,2.736685mm
_08477_,2.72592mm
_07192_,2.6757mm
_08490_,2.66895mm
_07205_,2.65854mm
_07794_,2.64746mm
_07229_,2.6441mm
_06869_,2.584305mm
_08504_,2.501525mm
_13703_,2.48043mm
_13702_,2.45855mm
_13705_,2.4206mm
_07218_,2.40705mm
_13701_,2.39983mm
_08521_,2.393185mm
_13700_,2.36173mm
_06819_,2.33017mm
_13699_,2.30289mm
_08482_,2.294775mm
u_accel.ii\[6\],2.25728mm
_08557_,2.23796mm
_08528_,2.22265mm
_07900_,2.185095mm
_08518_,2.112445mm
_08502_,2.05612mm
_07211_,1.99541mm
_07226_,1.99331mm
_07223_,1.99282mm
_08509_,1.98074mm
_07178_,1.97885mm
_07208_,1.95598mm
_07199_,1.95356mm
_07196_,1.94725mm
_07202_,1.93138mm
_07183_,1.93024mm
_07186_,1.9259mm
_07189_,1.85977mm
_07114_,1.855795mm
_07215_,1.85222mm
_07092_,1.85134mm
_08501_,1.73374mm
_08515_,1.71823mm
_08479_,1.71441mm
_07895_,1.69095mm
_07901_,1.67578mm
_07185_,1.65461mm
_07182_,1.65295mm
_08496_,1.62294mm
_07188_,1.62036mm
_07067_,1.60204mm
_07207_,1.56775mm
_07940_,1.553255mm
_07214_,1.54556mm
_07210_,1.5452mm
_08492_,1.54507mm
_07941_,1.534875mm
_07201_,1.526595mm
_07198_,1.50054mm
_07195_,1.49382mm
_08497_,1.48365mm
_08484_,1.464035mm
_08487_,1.45046mm
_08680_,1.43539mm
_07033_,1.37667mm
_07034_,1.37222mm
_06892_,1.26885mm
_07225_,1.26836mm
_08681_,1.267005mm
u_accel.c\[0\],1.24666mm
_07222_,1.225mm
_07177_,1.21738mm
_07037_,1.20069mm
_08506_,1.19121mm
_08716_,1.16925mm
u_accel.f\[0\],1.1618mm
_07035_,1.15494mm
_00000_,1.14956mm
clk_i,1.14397mm
_07935_,1.12414mm
_07217_,1.11254mm
u_accel.f\[1\],1.10214mm
_07204_,1.09969mm
_07191_,1.06809mm
_07934_,1.05791mm
u_accel.st\[2\],1.05306mm
_06904_,1.03449mm
u_accel.sw_reset_i,1.03279mm
_07938_,1.02834mm
_08543_,1.02587mm
_07036_,1.02544mm
_13873_,1.01322mm
_13964_,1.00812mm
_13957_,998.93µm
_13875_,990.93µm
_13963_,985.84µm
_06817_,982µm
_13956_,978.68µm
_07894_,973.55µm
_13959_,967.225µm
clknet_6_8_0_clk_i_regs,966.64µm
_13876_,962.87µm
_13872_,951.93µm
_07031_,951.58µm
u_accel.st\[6\],947.44µm
clknet_6_2_0_clk_i_regs,932.32µm
u_accel.st\[7\],918.31µm
u_accel.st\[3\],914.725µm
_13757_,914.51µm
_13764_,912.57µm
_07857_,911.78µm
_06988_,899.03µm
_07170_,895.23µm
_07169_,892.85µm
_13954_,890.69µm
_13961_,889.75µm
_11649_,883.44µm
_13844_,882.82µm
_08715_,882.61µm
_13867_,875.88µm
_06983_,868.935µm
_13868_,867.02µm
_13746_,865.01µm
_07228_,861.79µm
_06907_,859.415µm
_13877_,857.19µm
_13785_,856.9µm
_07026_,856.59µm
_13824_,851.98µm
_07040_,846.8µm
_07024_,838.165µm
_13716_,838.14µm
_07021_,829.105µm
_13866_,826.34µm
_12665_,825.47µm
_07800_,824.095µm
_07803_,818.165µm
_11883_,815.8µm
_13833_,810.06µm
clknet_6_0_0_clk_i_regs,809.945µm
_06818_,809.63µm
_06820_,804.46µm
_12316_,802.61µm
_13756_,796.97µm
_06909_,795.6µm
_13869_,793.555µm
_13834_,791.47µm
_13958_,787.05µm
_13734_,785.81µm
_07802_,785.52µm
clknet_6_10_0_clk_i_regs,783.42µm
_13827_,781.52µm
_13953_,780.49µm
_07028_,779.91µm
_13802_,774.79µm
_13745_,772.62µm
_12283_,771.1µm
_07030_,769.655µm
_13826_,766.87µm
_13860_,764.97µm
_13681_,762.9µm
_07932_,761.44µm
_13960_,755.36µm
_13955_,753.155µm
_13854_,751.7µm
_13709_,738.2µm
_13809_,733.79µm
_12315_,731.37µm
_06891_,720.595µm
_13793_,702.2µm
_13830_,701.77µm
_13782_,701.02µm
_12381_,700.655µm
_13755_,695.22µm
_13819_,694.45µm
_09707_,688.1µm
_13760_,687.51µm
_13832_,686.05µm
_07173_,685.64µm
_13799_,678.66µm
_13798_,676.38µm
_13722_,675.65µm
_06987_,673.9µm
u_accel.acc\[6\],673.16µm
_13849_,673.14µm
_13836_,670.65µm
_13775_,669.22µm
_13781_,663.375µm
_11159_,661.4µm
_07957_,660.95µm
_12717_,659.32µm
_07022_,658.6µm
_07172_,657.3µm
_08921_,654.96µm
_13754_,651.88µm
_09130_,650.495µm
_08572_,650.48µm
_13839_,643.82µm
_13749_,643.16µm
_12823_,635.51µm
_13845_,634.61µm
_07767_,631.61µm
_13864_,627.12µm
_13862_,625.94µm
clknet_3_4_0_clk_i_regs,622.74µm
_13792_,620.59µm
_13835_,611.64µm
_13741_,611.61µm
net24,611.2µm
_13759_,611.15µm
_13811_,608.59µm
clknet_0_clk_i_regs,607.42µm
_08499_,603.755µm
_06893_,602.19µm
_13794_,601.68µm
_08514_,601.125µm
clknet_1_0__leaf_clk_i,596.99µm
_13795_,595.59µm
_13842_,593.33µm
u_accel.acc\[4\],592.92µm
_13843_,592.82µm
_13723_,592.69µm
net18,592.13µm
_13763_,589.06µm
clknet_3_7_0_clk_i_regs,588.44µm
clknet_3_6_0_clk_i_regs,586.2µm
sram_addr\[7\],582.48µm
clknet_6_48_0_clk_i_regs,581.88µm
_13796_,580.32µm
_07476_,579.82µm
_13863_,573.21µm
_13815_,572.37µm
_10163_,572.1µm
clknet_3_3_0_clk_i_regs,572.09µm
_13773_,571.36µm
net10,571.22µm
_10655_,570.195µm
_08524_,569.75µm
u_accel.acc\[9\],566.64µm
net30,566.63µm
_13686_,564.565µm
clknet_3_5_0_clk_i_regs,564.51µm
_13784_,561.84µm
clknet_3_0_0_clk_i_regs,561.79µm
_12155_,557.09µm
u_accel.acc\[8\],554.31µm
_08742_,553.88µm
_13777_,553.07µm
_12153_,547.64µm
_13720_,546.54µm
net29,546.2µm
_13738_,545.905µm
_13804_,544.08µm
u_accel.acc\[5\],543.12µm
clknet_6_25_0_clk_i_regs,542.26µm
clknet_6_16_0_clk_i_regs,541.5µm
_13768_,541.2µm
_07321_,537.38µm
clknet_6_34_0_clk_i_regs,536.96µm
_13740_,533.375µm
_13747_,533.175µm
_13847_,530.76µm
sram_addr\[6\],528.84µm
sram_addr\[1\],528.48µm
sram_addr\[2\],528.48µm
_13838_,528.35µm
_08592_,528.14µm
u_accel.acc\[7\],527.29µm
clknet_6_53_0_clk_i_regs,527.16µm
clknet_6_44_0_clk_i_regs,526.2µm
_06971_,525.615µm
_13801_,524.53µm
_10379_,522.18µm
_13816_,521.905µm
_07854_,520.43µm
_08516_,519.195µm
_07043_,519.14µm
_12011_,516.6µm
_11043_,515.38µm
clknet_2_2_0_clk_i_regs,514.29µm
_08505_,513.855µm
_06972_,512.8µm
_07786_,512.71µm
_09099_,512.365µm
_13767_,511.16µm
clknet_6_27_0_clk_i_regs,507.87µm
_13821_,506.99µm
_07801_,506.78µm
_08606_,506.475µm
clknet_6_33_0_clk_i_regs,506.17µm
_06986_,502.94µm
_13791_,502.63µm
_13812_,502.54µm
_13810_,502.09µm
_13769_,499.33µm
u_accel.acc\[3\],497.88µm
clknet_6_18_0_clk_i_regs,497.24µm
_13850_,497.01µm
clknet_6_26_0_clk_i_regs,494.11µm
_13853_,490.3µm
_06822_,489.12µm
_07765_,486.12µm
_13846_,485.4µm
clknet_2_1_0_clk_i_regs,485.3µm
_08527_,483.82µm
clknet_3_2_0_clk_i_regs,482.51µm
_13787_,482.16µm
clknet_2_3_0_clk_i_regs,481.64µm
_08919_,480.1µm
sram_addr\[3\],478.56µm
_07051_,475.9µm
_14205_,474.935µm
u_accel.acc\[2\],474.79µm
clknet_6_31_0_clk_i_regs,472.78µm
_13752_,472.34µm
u_accel.acc\[10\],471.86µm
_13758_,471.58µm
clknet_6_54_0_clk_i_regs,470.88µm
clknet_6_32_0_clk_i_regs,469.32µm
net9,469.08µm
clknet_6_17_0_clk_i_regs,468.74µm
_07072_,465.41µm
_13825_,464.9µm
_07065_,464.49µm
_13879_,463.15µm
_09001_,461.08µm
_13786_,460.98µm
clknet_6_15_0_clk_i_regs,458.1µm
_13852_,457.98µm
_07048_,456.9µm
_08566_,455.59µm
_06975_,454.42µm
_08578_,453.935µm
clknet_6_28_0_clk_i_regs,452.81µm
_08563_,452.735µm
_13829_,452.21µm
axi_wdata_i[21],450.65µm
_00023_,450.2µm
_13861_,450.17µm
clknet_6_47_0_clk_i_regs,449.1µm
clknet_6_40_0_clk_i_regs,448.3µm
u_accel.st\[1\],447.28µm
net28,447.26µm
_13837_,446.48µm
_13765_,446.11µm
_10875_,445.84µm
clknet_3_1_0_clk_i_regs,445.56µm
clknet_6_29_0_clk_i_regs,445.52µm
sram_addr\[5\],445.435µm
_08480_,444.305µm
_08003_,443.92µm
_08602_,442.31µm
_11878_,441.94µm
_08600_,440.185µm
_08593_,438.035µm
clknet_6_24_0_clk_i_regs,437.54µm
_13856_,436.77µm
clknet_6_55_0_clk_i_regs,435.7µm
_08603_,435.38µm
clknet_6_4_0_clk_i_regs,434.58µm
_07554_,434.3µm
clknet_6_30_0_clk_i_regs,433.95µm
_08511_,433.815µm
axi_wdata_i[17],433.27µm
_08520_,430.155µm
_13790_,430.15µm
_13748_,429.76µm
clknet_6_43_0_clk_i_regs,428.66µm
_13859_,428.36µm
_13803_,426.99µm
sram_addr\[4\],424.08µm
_13750_,423.5µm
_10565_,421.88µm
_13783_,421.45µm
_13840_,420.955µm
_09705_,420.76µm
_08922_,419.92µm
clknet_6_37_0_clk_i_regs,419.71µm
clknet_6_57_0_clk_i_regs,419.52µm
_13800_,419.19µm
_06968_,418.6µm
_13728_,418.58µm
_12851_,418.54µm
net27,417.45µm
_07044_,417.22µm
clknet_6_39_0_clk_i_regs,416.095µm
clknet_6_58_0_clk_i_regs,413.66µm
u_accel.acc\[11\],413.64µm
_08587_,413.625µm
_11157_,413.5µm
axi_wdata_i[18],413.34µm
_13858_,412.1µm
_07027_,411.66µm
_08569_,410.46µm
u_accel.act_idx\[0\],408.82µm
_07054_,406.95µm
_13776_,406.86µm
_08531_,406.56µm
clknet_6_46_0_clk_i_regs,405.12µm
_13730_,403.76µm
clknet_6_19_0_clk_i_regs,403.46µm
_07025_,400µm
_08470_,399.135µm
clknet_6_7_0_clk_i_regs,398.66µm
_13818_,397.195µm
_13721_,395.77µm
clknet_6_56_0_clk_i_regs,393.92µm
u_accel.acc\[0\],392.9µm
_08583_,391.91µm
clknet_6_5_0_clk_i_regs,391.66µm
net25,391.32µm
axi_wdata_i[4],390.88µm
_07400_,389.86µm
_08552_,389.795µm
_13713_,389.75µm
_08550_,389.585µm
clknet_6_41_0_clk_i_regs,388.72µm
_07029_,388.28µm
_11355_,387.79µm
_07612_,386.99µm
_08553_,386.28µm
_08564_,386.14µm
_13712_,385.545µm
axi_wdata_i[14],384.72µm
_08595_,384.205µm
clknet_6_52_0_clk_i_regs,384.08µm
_13770_,383.08µm
axi_wdata_i[26],383.08µm
axi_wdata_i[25],382.65µm
u_accel.act_idx\[1\],380.75µm
_09886_,378.3µm
axi_sram_we,376.86µm
clknet_6_6_0_clk_i_regs,376.59µm
clknet_6_1_0_clk_i_regs,376.26µm
clknet_6_61_0_clk_i_regs,374.68µm
_13753_,374.62µm
clknet_2_0_0_clk_i_regs,374.13µm
_13778_,373.36µm
_08601_,372.32µm
u_accel.acc\[12\],372.26µm
axi_wdata_i[16],371.52µm
_13855_,370.97µm
clknet_6_45_0_clk_i_regs,370.93µm
clknet_6_13_0_clk_i_regs,370.64µm
_11560_,369.08µm
axi_wdata_i[6],367.23µm
_09247_,366.09µm
_12380_,365.92µm
_13751_,365.24µm
_13732_,364.79µm
_08554_,363.73µm
_07630_,362.73µm
_13772_,362.5µm
sram_wmask,362.03µm
axi_wdata_i[15],362.01µm
_09558_,361.64µm
_13766_,360.96µm
_08574_,360.37µm
_10132_,358.025µm
axi_wdata_i[22],358.01µm
